name,slug,brand_slug,category_slug,product_code,price,currency,stock_status,short_description,description,is_featured,is_active,aku,maksimum-guc,motor-hacmi,on-fren,on-lastik,on-suspansiyon,renk,uzunluk,arka-fren,arka-lastik,arka-suspansiyon,far-tipi,garanti-suresi,genislik,immobilizer,maksimum-tork,silindir-sayisi,abs,gosterge-paneli,lastik-tipi,maksimum-hiz,model-yili,motor-tipi,yukseklik,cbs,dingil-mesafesi,fiyat,sogutma-sistemi,yakit-tuketimi,sele-yuksekligi,yakit-sistemi,yerden-yukseklik,bos-agirlik,yakit-deposu,maksimum-tasima-kapasitesi,sanziman-tipi,sele-alti-bagaj-hacmi,on-cam,duz-taban,start-stop,anahtarsiz-calistirma
SRX 50,rks-srx-50,rks,scooter,srx50,,TRY,in_stock,RKS SRX 50 scooter,RKS SRX 50 scooter teknik özellikleri.,false,true,,2.14,50,,90/90-12,,,1900,,100/80-12,,led,2,715,,2.4,1,,digital,,,,dört zamanlı,1210,,1330,,hava soğutmalı,,,benzin,,117,8,,cvt,,,,,
Icon 50,rks-icon-50,rks,scooter,icon50,,TRY,in_stock,RKS Icon 50 scooter,RKS Icon 50 scooter teknik özellikleri.,false,true,,2.95,50,,,,,,,,,led,2,,,2.8,1,,digital,,,,dört zamanlı,,true,,,,,,benzin,,,,,cvt,,,,,
Rosa 50,rks-rosa-50,rks,scooter,rosa50,,TRY,in_stock,RKS Rosa 50 scooter,RKS Rosa 50 scooter teknik özellikleri.,false,true,,2.15,50,,90/90-12,,,2060,,100/80-12,,,2,755,,2.0,1,,,,,,dört zamanlı,1105,true,1370,,hava soğutmalı,,755,benzin,130,112,7,,cvt,,,,,
LT 50,rks-lt-50,rks,scooter,lt50,,TRY,in_stock,RKS LT 50 scooter,RKS LT 50 scooter teknik özellikleri.,false,true,,2.82,50,,100/90-12,,,1915,,110/90-12,,,2,710,,3.5,1,,,,,,dört zamanlı,1100,true,1300,,,,760,benzin,125,105,6,,cvt,,,,,
LTM 125,rks-ltm-125,rks,scooter,ltm125,,TRY,in_stock,RKS LTM 125 scooter,RKS LTM 125 scooter teknik özellikleri.,false,true,,8.71,124,,100/90-12,,,1900,,110/90-12,,,2,710,,9.5,1,true,,,,,dört zamanlı,1100,,1300,,hava soğutmalı,,750,benzin,125,113,6,,cvt,,,,,
LTR 125,rks-ltr-125,rks,scooter,ltr125,,TRY,in_stock,RKS LTR 125 scooter,RKS LTR 125 scooter teknik özellikleri.,false,true,,14.5,125,,100/90-12,,,1915,,110/90-12,,,2,710,,12.0,1,,,,,,dört zamanlı,1100,true,1300,,su soğutmalı,,760,benzin,125,118,6,,cvt,,,,,
Spontini 110,rks-spontini-110,rks,scooter,spontini110,,TRY,in_stock,RKS Spontini 110 scooter,RKS Spontini 110 scooter teknik özellikleri.,false,true,,8.04,109,,90/90-12,,,1840,,3.50-10,,,2,650,,8.5,1,,,,,,dört zamanlı,1120,true,1280,,hava soğutmalı,,,benzin,,100,6.75,,cvt,,,,,
Reale 125,rks-reale-125,rks,scooter,reale125,,TRY,in_stock,RKS Reale 125 scooter,RKS Reale 125 scooter teknik özellikleri.,false,true,,14.5,125,,110/80-14,,,1990,,130/70-13,,,2,755,,12.0,1,true,,,,,dört zamanlı,1210,,1325,,su soğutmalı,,770,benzin,165,132,,,cvt,,,,,
Reale 125X,rks-reale-125x,rks,scooter,reale125x,,TRY,in_stock,RKS Reale 125X scooter,RKS Reale 125X scooter teknik özellikleri.,false,true,,14.5,125,,110/80-14,,,1990,,130/70-13,,,2,755,,12.0,1,true,,,,,dört zamanlı,1210,,1325,,su soğutmalı,,770,benzin,165,132,,,cvt,,,,,
Lince 125,rks-lince-125,rks,scooter,lince125,,TRY,in_stock,RKS Lince 125 scooter,RKS Lince 125 scooter teknik özellikleri.,false,true,,10.5,125,,,,,,,,,,2,,,10.0,1,,,,,,dört zamanlı,,true,,,hava soğutmalı,,,benzin,,,,,cvt,,,,,
SC150RE,rks-sc150re,rks,scooter,sc150re,,TRY,in_stock,RKS SC150RE scooter,RKS SC150RE scooter teknik özellikleri.,false,true,,13.0,150,,120/70-12,,,1945,,120/70-12,,,2,700,,13.7,1,true,,,95,,dört zamanlı,1155,,1360,,su soğutmalı,2.9,785,benzin,120,139,7,,cvt,,,,,
RZ250S,rks-rz250s,rks,scooter,rz250s,,TRY,in_stock,RKS RZ250S scooter,RKS RZ250S scooter teknik özellikleri.,false,true,,27.5,250,,120/70-15,,,2025,,140/70-14,,,2,780,,25.8,1,true,,,,,dört zamanlı,1440,,1405,,su soğutmalı,,760,benzin,150,188,12,,cvt,,,,,
Blade 250,rks-blade-250,rks,scooter,blade250,,TRY,in_stock,RKS Blade 250 scooter,RKS Blade 250 scooter teknik özellikleri.,false,true,,23.1,249,,120/70-14,,,2306,,150/70-13,,,2,820,,23.5,1,true,,,,,dört zamanlı,1343,,1548,,su soğutmalı,,,benzin,,170,17,,cvt,,,,,
Precio 250,rks-precio-250,rks,scooter,precio250,,TRY,in_stock,RKS Precio 250 scooter,RKS Precio 250 scooter teknik özellikleri.,false,true,,24.8,250,,110/80-14,,,2100,,130/70-13,,,2,765,,24.0,1,true,,,,,dört zamanlı,1350,,1360,,su soğutmalı,,795,benzin,120,167,12,,cvt,,,,,
VPS125 Pro,rks-vps125-pro,rks,scooter,vps125pro,,TRY,in_stock,RKS VPS125 Pro scooter,RKS VPS125 Pro scooter teknik özellikleri.,false,true,,8.71,124,,100/90-12,,,1840,,110/90-12,,,2,690,,10.0,1,,,,,,dört zamanlı,1090,true,1293,,hava soğutmalı,,750,benzin,125,107,5.3,,cvt,,,,,
Neon 125,rks-neon-125,rks,scooter,neon125,,TRY,in_stock,RKS Neon 125 scooter,RKS Neon 125 scooter teknik özellikleri.,false,true,,9.25,125,,110/90-12,,,1810,,110/90-12,,,2,705,,10.0,1,,,,95,,dört zamanlı,1110,true,1275,,hava soğutmalı,2.3,,benzin,,108,5.4,,cvt,,,,,
Precio 250 Max,rks-precio-250-max,rks,scooter,precio250max,,TRY,in_stock,RKS Precio 250 Max scooter,RKS Precio 250 Max scooter teknik özellikleri.,false,true,,24.8,250,,110/80-14,,,2100,,130/70-13,,,2,765,,24.0,1,true,,,120,,dört zamanlı,1350,,1360,,su soğutmalı,3.0,795,benzin,120,167,12,,cvt,,,,,
